Branch Plant,Name,Latitude,Longitude,Address,City,State,Zip,Location Type,Network,BG Accuracy,Has BCC Associates,Serviced by CSC,Serviced by RDC,Direction
8369,PERLLERIN,30.3125305175781,-91.7899856567383,211 BERNARD ST,BREAUX BRIDGE,LA,70517,CW,SOW,GEOMETRIC_CENTER,No,8041,,SE mi 1163.03044295917
8332,"JACKSON, MS CSC",32.2419204711914,-90.1652526855469,1640 HIGHWAY 49 S,FLORENCE,MS,39073,CSC,SOE,RANGE_INTERPOLATED,Yes,,8069,E mi 1168.13658303434
8372,JACQUEMOUD COMMERCIAL,30.0090312957764,-91.7604598999023,2863 RUE DEGRAVELL,NEW IBERIA,LA,70563,CW,SOW,GEOMETRIC_CENTER,No,8041,,SE mi 1177.30663150022
8475,"CW HOPKINSVILLE, KY",36.8428840637207,-87.4572601318359,114 LACY LN,HOPKINSVILLE,KY,42240,XD,SOE,ROOFTOP,Yes,8080,8080,E mi 1186.9307608237
8066,RDC INDIANAPOLIS,39.6797866821289,-86.2957153320313,5770 DECATUR BLVD STE B,INDIANAPOLIS,IN,46241,RDC,MID,ROOFTOP,Yes,,8066,E mi 1211.95965449881
8041,CSC HAMMOND,30.4856491088867,-90.413818359375,43236 S AIRPORT RD,HAMMOND,LA,70401,CSC,SOW,ROOFTOP,Yes,,8069,SE mi 1221.96403462435
8063,CSC WARSAW,41.2644729614258,-85.8488616943359,519 ANCHORAGE RD,WARSAW,IN,46580,CSC,MID,ROOFTOP,Yes,,8066,E mi 1227.57055988145
8032,CSC GRAND RAPIDS,42.8843383789063,-85.571891784668,4359 AIRWEST DR SE,GRAND RAPIDS,MI,49512,XD,MID,ROOFTOP,Yes,8005,8006,E mi 1243.14998500891
8071,CSC LOUISVILLE,38.2966918945313,-85.5422515869141,3600 CHAMBERLAIN LN STE 702,LOUISVILLE,KY,40241,CSC,MID,ROOFTOP,Yes,,8066,E mi 1266.52022964978
8080,RDC MANCHESTER,35.4992942810059,-86.0701751708984,175 MONOGARD DR,MANCHESTER,TN,37355,RDC,SOE,ROOFTOP,Yes,,8080,E mi 1288.37500642341
8422,CW BILOXI MS,30.3956718444824,-88.8846054077148,675 HOWARD AVE,BILOXI,MS,39530,CW,SOW,ROOFTOP,No,8041,,E mi 1300.40936975304
8039,CSC BIRMINGHAM,33.5279197692871,-86.7807922363281,3809 4TH TERRACE NORTH,BIRMINGHAM,AL,35222,CSC,SOE,ROOFTOP,Yes,,8080,E mi 1301.55870854403
8086,CSC CINCINNATI,39.2557411193848,-84.4356079101563,10330 EVENDALE DRIVE,CINCINNATI,OH,45241,CSC,MID,ROOFTOP,Yes,,8066,E mi 1314.24859878157
8029,CSC MOBILE,30.7150592803955,-88.1196136474609,3450 ARMOUR AVE,MOBILE,AL,36617,CSC,SOE,ROOFTOP,Yes,,8080,E mi 1326.26082038808
8005,CSC DETROIT,42.3802337646484,-83.3554000854492,31555 INDUSTRIAL RD  ST 100,LIVONIA,MI,48150,CSC,MID,ROOFTOP,Yes,,8066,E mi 1354.97327281672
8025,CSC COLUMBUS,40.0097312927246,-83.121452331543,2777 WESTBELT DR,COLUMBUS,OH,43228,CSC,MID,ROOFTOP,Yes,,8066,E mi 1376.80479686015
8016,CSC KNOXVILLE,35.9970664978027,-83.9052200317383,1918 N CHERRY ST STE 103,KNOXVILLE,TN,37917,CSC,SOE,ROOFTOP,Yes,8080,8080,E mi 1393.09939765642
8038,CSC ATLANTA,33.6021347045898,-84.4088973999023,574 AIRPORT S. PKWY STE 100,ATLANTA,GA,30349,CSC,SOE,ROOFTOP,Yes,,8030,E mi 1424.2743033716
8483,"CW AKRON, OH",41.1359748840332,-81.717399597168,852 MEDINA RD,MEDINA,OH,44256,XD,MID,ROOFTOP,Yes,8025,,E mi 1442.74112376629
8060,CSC CHARLESTON,38.4179000854492,-81.830940246582,1 PARK DR HUB INDUSTRIAL PARK,NITRO,WV,25143,XD,MID,RANGE_INTERPOLATED,Yes,8025,8066,E mi 1462.44120234009
8489,"CW GREENVILLE, SC",34.8608665466309,-82.3950576782227,639 NORTH MAIN ST,GREENVILLE,SC,29601,CW,SOE,ROOFTOP,No,8089,,E mi 1498.95102887954
8358,"CW WHEELING, WV",40.0656356811523,-80.7196655273438,1400 EOFF ST,WHEELING,WV,26003,CW,NOE,ROOFTOP,No,8011,,E mi 1502.53615107403
8442,CW MANNINGTON COMMERCIAL WAREHOUSE,39.5263557434082,-80.3418960571289,500 E MAIN ST,MANNINGTON,WV,26582,CW,NOE,ROOFTOP,No,8011,,E mi 1527.76644110363
8011,CSC PITTSBURGH,40.5299644470215,-80.1374282836914,"203 OVERLOOK DRIVE, SUITE 5",SEWICKLEY,PA,15143,CSC,NOE,ROOFTOP,Yes,,8066,E mi 1529.06394662171
8090,CSC THOMASVILLE,30.8335437774658,-83.9590911865234,1548 METCALF AVE,THOMASVILLE,GA,31792,CSC,SOE,ROOFTOP,Yes,8038,8030,E mi 1533.7425917364
9188,TORONTO CSC,43.6763229370117,-79.7141723632813,99 FIRST GULF BLVD,BRAMPTON,ON,L6W 4T8,CSC,CAN,ROOFTOP,Yes,,8048,E mi 1539.81770144072
8030,RDC CHARLOTTE,35.3100967407227,-80.8519439697266,6600 NORTHPARK BLVD STE H,CHARLOTTE,NC,28216,RDC,SOE,ROOFTOP,Yes,,8030,E mi 1570.96702805348
8049,CSC ROANOKE,37.3049087524414,-80.0303268432617,"1445 LAKESIDE CIRCLE, MILL RD PARK",SALEM,VA,24153,CSC,NOE,ROOFTOP,Yes,,8030,E mi 1575.43313181732
8031,CSC BUFFALO,42.9059181213379,-78.7453460693359,"2483 WALDEN AVE, STE 100",CHEEKTOWAGA,NY,14225,CSC,NOE,ROOFTOP,Yes,,8048,E mi 1588.97929756987
8089,COLUMBIA CSC,33.9685974121094,-81.0061874389648,1505 KEY RD SUITE B,COLUMBIA,SC,29201,CSC,SOE,ROOFTOP,Yes,,8030,E mi 1595.04086478435
8424,"CW LIVE OAKS, FL",30.307544708252,-82.9761352539063,1124 OHIO AVE N,LIVE OAK,FL,32064,CW,SOE,ROOFTOP,No,8067,,E mi 1602.63081271519
9112,CW EGANVILLE,45.5419387817383,-77.1063919067383,194 JANE ST,EGANVILLE,ON,K0J 1T0,CW,CAN,ROOFTOP,No,9192,,NE mi 1672.81558608542
8452,CW CONWAY SC,33.8382415771484,-79.0522918701172,608 BEATY ST,CONWAY,SC,29526,CW,SOE,ROOFTOP,No,8089,,E mi 1702.50824787989
8473,"CW TAMPA, FL",28.0068683624268,-82.5389099121094,5901 BENJAMIN CENTER DR STE 105,TAMPA,FL,33634,XD,SOE,ROOFTOP,Yes,8067,8080,E mi 1710.10268880376
8028,RICHMOND CSC,37.3086166381836,-77.3699264526367,1028 PORT WALTHALL DR,COLONIAL HEIGHTS,VA,23834,CSC,SOE,ROOFTOP,Yes,,8030,E mi 1717.05638044472
8009,CSC BALTIMORE,39.1941566467285,-76.7515869140625,7195 TROY HILL DR STE 104-106,ELKRIDGE,MD,21075,CSC,NOE,ROOFTOP,Yes,,8048,E mi 1720.84847513667
8072,CSC SYRACUSE,43.090461730957,-76.1061401367188,"5985 TARBELL RD, UNIT A",SYRACUSE,NY,13206,CSC,NOE,ROOFTOP,Yes,,8048,E mi 1721.88492581616
8065,CSC GOLDSBORO,35.3915748596191,-77.9892425537109,722 N WILLIAM ST,GOLDSBORO,NC,27530,CSC,SOE,ROOFTOP,Yes,,8030,E mi 1722.10127374906
8067,CSC ORLANDO,28.4468555450439,-81.3505172729492,8310 BOGGY CREEK RD STE 100,ORLANDO,FL,32824,CSC,SOE,ROOFTOP,Yes,,8080,E mi 1753.53474125081
8048,RDC ALLENTOWN,40.5837287902832,-75.7122116088867,9770 COMMERCE CIR,KUTZTOWN,PA,19530,RDC,NOE,ROOFTOP,Yes,,8048,E mi 1759.13501508013
8435,CW MADRID COMMERCIAL WAREHOUSE,44.9314994812012,-74.8961639404297,64 ANDREWS ST,MASSENA,NY,13662,CW,NOE,ROOFTOP,No,8072,,NE mi 1779.16658871714
8201,DOVER CROSS DOCK,39.1424369812012,-75.4961624145508,640 LAFFERTY LN,DOVER,DE,19901,XD,NOE,ROOFTOP,Yes,8048,8048,E mi 1787.59132641906
9192,BATESVILLE MONTREAL CSC,45.4532432556152,-73.7269668579102,637 MELOCHE AVENUE,DORVAL,QC,H9P 2T1,CSC,CAN,ROOFTOP,Yes,,8048,NE mi 1836.37535645808
8469,"CW ALBANY, NY",42.7615661621094,-73.7899932861328,889 TROY SCHENECTADY RD,LATHAM,NY,12110,XD,NOE,ROOFTOP,Yes,8072,8048,E mi 1840.46360970244
8023,CSC MOONACHIE,40.8450736999512,-74.0507583618164,20 OXFORD DR,MOONACHIE,NJ,7074,CSC,NOE,ROOFTOP,Yes,,8048,E mi 1842.63274244316
9111,CW URGEL BOURGIE,45.6088104248047,-73.5718765258789,9101 BOUL. LOUIS-H.-LAFONTAINE,ANJOU,QC,H1J 1Z1,CW,CAN,ROOFTOP,No,9192,,NE mi 1843.99311027598
8036,CSC FT. LAUDERDALE,26.3067531585693,-80.152458190918,720 S POWERLINE RD STE A,DEERFIELD BEACH,FL,33442,CSC,SOE,RANGE_INTERPOLATED,Yes,,8080,E mi 1897.88191350921
8496,CMW METRO MIAMI,25.8061599731445,-80.2538833618164,3545 NW 33RD ST,MIAMI,FL,33142,CW,SOE,ROOFTOP,No,8067,,E mi 1913.2676409004
8497,CMW SCI - 8TH STREET,25.7645645141602,-80.2506561279297,3344 SW 8TH ST,MIAMI,FL,33135,CW,SOE,ROOFTOP,No,8067,,E mi 1915.14769171814
